timestep,avg_return
1024,21.354166666666668
2048,17.982758620689655
3072,22.5
4096,17.913793103448278
5120,21.020408163265305
6144,20.64
7168,22.0
8192,21.20408163265306
9216,21.829787234042552
10240,25.7
11264,23.545454545454547
12288,27.81081081081081
13312,23.568181818181817
14336,27.710526315789473
15360,26.658536585365855
16384,23.84090909090909
17408,25.341463414634145
18432,26.53846153846154
19456,25.925
20480,27.5
21504,29.027027027027028
22528,31.151515151515152
23552,33.59375
24576,39.111111111111114
25600,41.55555555555556
26624,34.2
27648,34.666666666666664
28672,38.0
29696,32.5
30720,34.6
31744,41.4
32768,37.25
33792,38.074074074074076
34816,41.52
35840,58.05555555555556
36864,42.833333333333336
37888,66.1875
38912,41.44
39936,52.7
40960,51.5
41984,66.25
43008,59.388888888888886
44032,59.22222222222222
45056,51.9
46080,71.33333333333333
47104,69.8
48128,65.8125
49152,74.71428571428571
50176,64.0
51200,72.93333333333334
52224,72.0
53248,71.66666666666667
54272,65.9375
55296,85.46153846153847
56320,70.6
57344,74.92857142857143
58368,80.0
59392,74.14285714285714
60416,76.64285714285714
61440,105.8
62464,81.28571428571429
63488,86.38461538461539
64512,80.23076923076923
65536,119.6
66560,107.0
67584,86.25
68608,115.4
69632,105.4
70656,88.16666666666667
71680,97.18181818181819
72704,97.91666666666667
73728,109.8
74752,108.6
75776,160.28571428571428
76800,116.22222222222223
77824,125.66666666666667
78848,109.4
79872,136.0
80896,123.0
81920,116.55555555555556
82944,114.77777777777777
83968,122.55555555555556
84992,149.42857142857142
86016,107.2
87040,105.4
88064,150.375
89088,135.875
90112,115.77777777777777
91136,147.71428571428572
92160,149.42857142857142
93184,142.0
94208,175.5
95232,227.8
96256,132.875
97280,188.0
98304,156.57142857142858
99328,239.6
100352,189.83333333333334
101376,181.16666666666666
102400,179.33333333333334
103424,174.0
104448,240.4
105472,184.0
106496,189.33333333333334
107520,236.0
108544,258.25
109568,219.0
110592,231.2
111616,269.5
112640,265.75
113664,167.14285714285714
114688,182.0
115712,224.6
116736,150.71428571428572
117760,111.7
118784,212.8
119808,120.0
120832,106.8
121856,124.11111111111111
122880,103.27272727272727
123904,111.3
124928,98.0
125952,143.55555555555554
126976,128.375
128000,140.875
129024,122.66666666666667
130048,181.42857142857142
131072,123.88888888888889
132096,149.28571428571428
133120,194.33333333333334
134144,233.8
135168,150.75
136192,178.83333333333334
137216,206.2
138240,168.0
139264,298.0
140288,234.6
141312,264.6
142336,188.16666666666666
143360,138.25
144384,215.0
145408,226.0
146432,184.83333333333334
147456,270.5
148480,383.6666666666667
149504,265.0
150528,356.0
151552,303.5
152576,271.2
153600,445.6666666666667
154624,362.3333333333333
155648,341.5
156672,343.3333333333333
157696,361.75
158720,280.75
159744,265.5
160768,256.5
161792,365.6666666666667
162816,234.6
163840,296.75
164864,271.0
165888,263.25
166912,183.0
167936,340.5
168960,231.6
169984,268.5
171008,363.0
172032,314.5
173056,348.3333333333333
174080,345.0
175104,279.25
176128,251.0
177152,378.3333333333333
178176,271.75
179200,398.0
180224,285.25
181248,395.6666666666667
182272,331.25
183296,306.25
184320,359.3333333333333
185344,500.0
186368,500.0
187392,500.0
188416,422.0
189440,449.6666666666667
190464,347.5
191488,386.6666666666667
192512,438.0
193536,385.0
194560,477.3333333333333
195584,500.0
196608,408.0
197632,280.0
198656,441.0
199680,364.0
200704,443.0
201728,365.3333333333333
202752,453.3333333333333
203776,396.3333333333333
204800,500.0
205824,373.3333333333333
206848,418.3333333333333
207872,359.5
208896,279.25
209920,284.75
210944,293.0
211968,257.5
212992,415.6666666666667
214016,463.3333333333333
215040,434.0
216064,500.0
217088,500.0
218112,360.6666666666667
219136,480.0
220160,500.0
221184,416.0
222208,500.0
223232,500.0
224256,464.3333333333333
225280,500.0
226304,500.0
227328,473.0
228352,500.0
229376,491.6666666666667
230400,500.0
231424,500.0
232448,500.0
233472,500.0
234496,500.0
235520,500.0
236544,500.0
237568,500.0
238592,500.0
239616,497.3333333333333
240640,436.0
241664,500.0
242688,499.0
243712,487.0
244736,388.6666666666667
245760,500.0
246784,500.0
247808,412.3333333333333
248832,373.0
249856,402.6666666666667
250880,366.6666666666667
251904,353.6666666666667
252928,380.0
253952,282.0
254976,274.2
256000,181.83333333333334
257024,180.14285714285714
258048,177.14285714285714
259072,188.0
260096,331.5
261120,260.6
262144,262.5
263168,292.5
264192,262.25
265216,307.0
266240,466.6666666666667
267264,500.0
268288,305.25
269312,404.6666666666667
270336,364.6666666666667
271360,490.0
272384,409.0
273408,343.25
274432,500.0
275456,500.0
276480,500.0
277504,416.3333333333333
278528,392.0
279552,464.6666666666667
280576,309.25
281600,225.66666666666666
282624,187.5
283648,155.57142857142858
284672,133.5
285696,138.375
286720,115.8
287744,118.66666666666667
288768,117.33333333333333
289792,110.8
290816,105.3
291840,93.9090909090909
292864,97.0909090909091
293888,79.23076923076923
294912,93.36363636363636
295936,96.08333333333333
296960,89.08333333333333
297984,84.6923076923077
299008,86.53846153846153
