timestep,avg_return
1024,20.56
2048,20.8
3072,22.282608695652176
4096,20.74
5120,24.452380952380953
6144,24.523809523809526
7168,27.236842105263158
8192,25.073170731707318
9216,30.5
10240,25.875
11264,25.70731707317073
12288,27.128205128205128
13312,28.63888888888889
14336,35.766666666666666
15360,35.266666666666666
16384,37.42857142857143
17408,48.77272727272727
18432,45.458333333333336
19456,50.476190476190474
20480,73.71428571428571
21504,71.86666666666666
22528,68.6
23552,97.45454545454545
24576,93.0
25600,69.33333333333333
26624,89.08333333333333
27648,83.3076923076923
28672,64.8125
29696,85.38461538461539
30720,94.91666666666667
31744,91.41666666666667
32768,86.6923076923077
33792,147.57142857142858
34816,129.77777777777777
35840,128.375
36864,86.16666666666667
37888,98.72727272727273
38912,69.13333333333334
39936,106.54545454545455
40960,104.4
41984,176.85714285714286
43008,136.75
44032,209.6
45056,183.66666666666666
46080,210.0
47104,256.25
48128,161.57142857142858
49152,207.0
50176,223.0
51200,274.8
52224,269.6
53248,226.2
54272,157.14285714285714
55296,220.6
56320,132.625
57344,173.85714285714286
58368,177.33333333333334
59392,134.625
60416,223.6
61440,174.875
62464,195.66666666666666
63488,210.6
64512,193.16666666666666
65536,228.2
66560,207.16666666666666
67584,244.83333333333334
68608,351.0
69632,274.2
70656,315.5
71680,346.6666666666667
72704,264.5
73728,465.3333333333333
74752,296.5
75776,389.3333333333333
76800,394.0
77824,366.3333333333333
78848,335.0
79872,237.8
80896,191.16666666666666
81920,121.0
82944,143.25
83968,79.14285714285714
84992,79.92307692307692
86016,91.16666666666667
87040,80.35714285714286
88064,76.14285714285714
89088,105.27272727272727
90112,79.76923076923077
91136,93.58333333333333
92160,85.23076923076923
93184,73.13333333333334
94208,111.5
95232,99.0
96256,90.66666666666667
97280,119.88888888888889
98304,106.5
99328,127.44444444444444
100352,140.5
101376,176.83333333333334
102400,217.6
103424,217.4
104448,237.6
105472,299.0
106496,457.6666666666667
107520,420.6666666666667
108544,382.0
109568,500.0
110592,500.0
111616,500.0
112640,500.0
113664,500.0
114688,465.3333333333333
115712,500.0
116736,500.0
117760,500.0
118784,500.0
119808,500.0
120832,500.0
121856,500.0
122880,500.0
123904,500.0
124928,496.3333333333333
125952,500.0
126976,446.0
128000,496.6666666666667
129024,274.2
130048,343.3333333333333
131072,272.0
132096,222.4
133120,216.0
134144,302.5
135168,142.625
136192,199.33333333333334
137216,225.5
138240,196.83333333333334
139264,147.125
140288,130.125
141312,221.0
142336,237.0
143360,274.75
144384,247.2
145408,322.5
146432,344.0
147456,398.3333333333333
148480,500.0
149504,484.6666666666667
150528,500.0
151552,500.0
152576,500.0
153600,500.0
154624,500.0
155648,500.0
156672,500.0
157696,438.3333333333333
158720,500.0
159744,500.0
160768,432.0
161792,500.0
162816,500.0
163840,500.0
164864,500.0
165888,500.0
166912,500.0
167936,500.0
168960,500.0
169984,500.0
171008,500.0
172032,500.0
173056,500.0
174080,500.0
175104,500.0
176128,500.0
177152,500.0
178176,500.0
179200,500.0
180224,500.0
181248,487.3333333333333
182272,479.6666666666667
183296,500.0
184320,500.0
185344,500.0
186368,500.0
187392,473.3333333333333
188416,335.75
189440,354.6666666666667
190464,411.6666666666667
191488,313.0
192512,343.75
193536,378.3333333333333
194560,371.0
195584,436.3333333333333
196608,500.0
197632,481.0
198656,500.0
199680,500.0
200704,500.0
201728,500.0
202752,500.0
203776,473.3333333333333
204800,479.3333333333333
205824,360.6666666666667
206848,369.0
207872,381.0
208896,446.6666666666667
209920,500.0
210944,500.0
211968,500.0
212992,500.0
214016,500.0
215040,500.0
216064,500.0
217088,500.0
218112,500.0
219136,500.0
220160,500.0
221184,500.0
222208,406.3333333333333
223232,500.0
224256,500.0
225280,500.0
226304,500.0
227328,500.0
228352,500.0
229376,500.0
230400,454.3333333333333
231424,470.6666666666667
232448,500.0
233472,500.0
234496,385.3333333333333
235520,497.6666666666667
236544,302.75
237568,375.3333333333333
238592,500.0
239616,500.0
240640,500.0
241664,475.6666666666667
242688,386.6666666666667
243712,429.6666666666667
244736,416.0
245760,500.0
246784,452.3333333333333
247808,500.0
248832,355.6666666666667
249856,240.5
250880,343.6666666666667
251904,178.5
252928,441.6666666666667
253952,376.3333333333333
254976,337.5
256000,500.0
257024,220.0
258048,274.25
259072,356.3333333333333
260096,500.0
261120,377.75
262144,358.6666666666667
263168,273.75
264192,236.4
265216,184.83333333333334
266240,270.8
267264,274.0
268288,196.33333333333334
269312,297.5
270336,253.0
271360,116.4
272384,150.0
273408,133.33333333333334
274432,170.83333333333334
275456,166.5
276480,279.6
277504,286.0
278528,267.75
279552,258.8
280576,193.0
281600,285.2
282624,427.0
283648,272.0
284672,312.25
285696,306.75
286720,427.6666666666667
287744,412.6666666666667
288768,315.25
289792,273.75
290816,355.75
291840,444.0
292864,412.6666666666667
293888,393.3333333333333
294912,368.3333333333333
295936,194.0
296960,361.3333333333333
297984,354.3333333333333
299008,387.0
